"id";"name_away_team";"away_team_score";"id_away_team";"id_local_team";"name_local_team";"local_team_score";"match_day";"round";"stadium";"status"
1;"Tijuana";0;16;12;"Puebla";0;"2019-07-19 19:00:00";1;"Estadio Cuauhtémoc";""
2;"FC Juárez";0;5;2;"Atlas";0;"2019-07-19 21:45:00";1;"Estadio Jalisco";""
3;"Pumas";0;13;3;"Atlético San Luis";0;"2019-07-20 17:00:00";1;"Estadio Alfonso Lastras";""
4;"Leon";0;7;11;"Pachuca";0;"2019-07-20 17:00:00";1;"Estadio Hidalgo";""
5;"Monterrey";0;8;1;"América";0;"2019-07-20 19:05:00";1;"Estadio Azteca";""
6;"Morelia";0;9;18;"UANL";0;"2019-07-20 21:00:00";1;"Estadio Universitario";""
7;"Cruz Azul";0;4;10;"Necaxa";0;"2019-07-20 21:08:00";1;"Estadio Victoria";""
8;"Querétaro";0;14;17;"Toluca";0;"2019-07-21 12:00:00";1;"Estadio Nemesio Diez";""
9;"Guadalajara";0;6;15;"Santos Laguna";0;"2019-07-21 18:45:00";1;"Estadio TSM Corona";""
10;"Atlas";0;2;9;"Morelia";0;"2019-07-26 19:00:00";2;"Estadio José Maria Morelos y Pavón";""
11;"Pachuca";0;11;19;"Veracruz";0;"2019-07-26 21:00:00";2;"Estadio Luis Pirata Fuente";""
12;"América";0;1;7;"Leon";0;"2019-07-27 19:00:00";2;"Estadio Nou Camp";""
13;"Toluca";0;17;4;"Cruz Azul";0;"2019-07-27 21:00:00";2;"Estadio Azteca";""
14;"Querétaro";0;14;16;"Tijuana";0;"2019-07-27 21:06:00";2;"Estadio Caliente";""
15;"Necaxa";0;10;13;"Pumas";0;"2019-07-28 12:00:00";2;"Estadio Olímpico Universitario";""
16;"Monterrey";0;8;3;"Atlético San Luis";0;"2019-07-28 17:00:00";2;"Estadio Alfonso Lastras";""
17;"FC Juárez";0;5;15;"Santos Laguna";0;"2019-07-28 18:45:00";2;"Estadio TSM Corona";""
18;"UANL";0;18;6;"Guadalajara";0;"2019-07-28 19:00:00";2;"Estadio Akron";""
19;"Guadalajara";0;6;12;"Puebla";0;"2019-08-02 19:00:00";3;"Estadio Cuauhtémoc";""
20;"Santos Laguna";0;15;2;"Atlas";0;"2019-08-02 21:00:00";3;"Estadio Jalisco";""
21;"Cruz Azul";0;4;14;"Querétaro";0;"2019-08-03 17:00:00";3;"Estadio La Corregidora";""
22;"Tijuana";0;16;1;"América";0;"2019-08-03 19:00:00";3;"Estadio Azteca";""
23;"Morelia";0;9;11;"Pachuca";0;"2019-08-03 19:00:00";3;"Estadio Hidalgo";""
24;"Veracruz";0;19;10;"Necaxa";0;"2019-08-03 21:05:00";3;"Estadio Victoria";""
25;"Leon";0;7;8;"Monterrey";0;"2019-08-03 21:06:00";3;"Estadio BBVA";""
26;"UANL";0;18;13;"Pumas";0;"2019-08-04 12:00:00";3;"Estadio Olímpico Universitario";""
27;"Toluca";0;17;5;"FC Juárez";0;"2019-08-04 19:00:00";3;"Estadio Benito Juárez";""
28;"Monterrey";0;8;9;"Morelia";0;"2019-08-09 19:00:00";4;"Estadio José Maria Morelos y Pavón";""
29;"Atlas";0;2;19;"Veracruz";0;"2019-08-09 19:00:00";4;"Estadio Luis Pirata Fuente";""
30;"Pumas";0;13;16;"Tijuana";0;"2019-08-09 19:00:00";4;"Estadio Caliente";""
31;"Pachuca";0;11;14;"Querétaro";0;"2019-08-10 19:00:00";4;"Estadio La Corregidora";""
32;"FC Juárez";0;5;4;"Cruz Azul";0;"2019-08-10 19:00:00";4;"Estadio Azteca";""
33;"Necaxa";0;10;18;"UANL";0;"2019-08-10 19:00:00";4;"Estadio Universitario";""
